company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Creative Plus S Dark,Engine Type,1.2L Turbocharged Revotron
TATA,NEXON,Nexon Creative Plus S Dark,Displacement,1199 cc
TATA,NEXON,Nexon Creative Plus S Dark,Max Power,118.27bhp@5500rpm
TATA,NEXON,Nexon Creative Plus S Dark,Max Torque,170Nm@1750-4000rpm
TATA,NEXON,Nexon Creative Plus S Dark,No. of Cylinders,3
TATA,NEXON,Nexon Creative Plus S Dark,Valves Per Cylinder,4
TATA,NEXON,Nexon Creative Plus S Dark,Turbo Charger,YES
TATA,NEXON,Nexon Creative Plus S Dark,Transmission Type,Manual
TATA,NEXON,Nexon Creative Plus S Dark,Gearbox,6-Speed
TATA,NEXON,Nexon Creative Plus S Dark,Drive Type,FWD
TATA,NEXON,Nexon Creative Plus S Dark,Fuel Type,Petrol
TATA,NEXON,Nexon Creative Plus S Dark,Petrol Mileage ARAI,17.44 kmpl
TATA,NEXON,Nexon Creative Plus S Dark,Petrol Fuel Tank Capacity,44 Litres
TATA,NEXON,Nexon Creative Plus S Dark,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Creative Plus S Dark,Top Speed,180 kmph
TATA,NEXON,Nexon Creative Plus S Dark,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Creative Plus S Dark,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Creative Plus S Dark,Steering Type,Electric
TATA,NEXON,Nexon Creative Plus S Dark,Steering Column,Tilt
TATA,NEXON,Nexon Creative Plus S Dark,Front Brake Type,Disc
TATA,NEXON,Nexon Creative Plus S Dark,Rear Brake Type,Drum
TATA,NEXON,Nexon Creative Plus S Dark,Alloy Wheel Size Front,16 Inch
TATA,NEXON,Nexon Creative Plus S Dark,Alloy Wheel Size Rear,16 Inch
TATA,NEXON,Nexon Creative Plus S Dark,Length,3995 mm
TATA,NEXON,Nexon Creative Plus S Dark,Width,1804 mm
TATA,NEXON,Nexon Creative Plus S Dark,Height,1620 mm
TATA,NEXON,Nexon Creative Plus S Dark,Boot Space,382 Litres
TATA,NEXON,Nexon Creative Plus S Dark,Seating Capacity,5
TATA,NEXON,Nexon Creative Plus S Dark,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Creative Plus S Dark,Wheel Base,2498 mm
TATA,NEXON,Nexon Creative Plus S Dark,No. of Doors,5
TATA,NEXON,Nexon Creative Plus S Dark,Power Steering,YES
TATA,NEXON,Nexon Creative Plus S Dark,Air Conditioner,YES
TATA,NEXON,Nexon Creative Plus S Dark,Heater,YES
TATA,NEXON,Nexon Creative Plus S Dark,Adjustable Steering,Height only
TATA,NEXON,Nexon Creative Plus S Dark,Height Adjustable Driver Seat,YES
TATA,NEXON,Nexon Creative Plus S Dark,Ventilated Seats,NO
TATA,NEXON,Nexon Creative Plus S Dark,Automatic Climate Control,YES
TATA,NEXON,Nexon Creative Plus S Dark,Air Quality Control,NO
TATA,NEXON,Nexon Creative Plus S Dark,Accessory Power Outlet,YES
TATA,NEXON,Nexon Creative Plus S Dark,Trunk Light,NO
TATA,NEXON,Nexon Creative Plus S Dark,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Creative Plus S Dark,Adjustable Headrest,YES
TATA,NEXON,Nexon Creative Plus S Dark,Rear Seat Centre Arm Rest,NO
TATA,NEXON,Nexon Creative Plus S Dark,Height Adjustable Front Seat Belts,NO
TATA,NEXON,Nexon Creative Plus S Dark,Rear AC Vents,YES
TATA,NEXON,Nexon Creative Plus S Dark,Cruise Control,NO
TATA,NEXON,Nexon Creative Plus S Dark,Parking Sensors,Rear
TATA,NEXON,Nexon Creative Plus S Dark,Foldable Rear Seat,Bench Folding
TATA,NEXON,Nexon Creative Plus S Dark,KeyLess Entry,YES
TATA,NEXON,Nexon Creative Plus S Dark,Engine Start/Stop Button,YES
TATA,NEXON,Nexon Creative Plus S Dark,Cooled Glovebox,YES
TATA,NEXON,Nexon Creative Plus S Dark,Voice Commands,YES
TATA,NEXON,Nexon Creative Plus S Dark,Paddle Shifters,NO
TATA,NEXON,Nexon Creative Plus S Dark,USB Charger,Front
TATA,NEXON,Nexon Creative Plus S Dark,Central Console Armrest,YES
TATA,NEXON,Nexon Creative Plus S Dark,Drive Modes,3
TATA,NEXON,Nexon Creative Plus S Dark,Rear Window Sunblind,NO
TATA,NEXON,Nexon Creative Plus S Dark,Automatic Headlamps,YES
TATA,NEXON,Nexon Creative Plus S Dark,Follow Me Home Headlamps,YES
TATA,NEXON,Nexon Creative Plus S Dark,Voice assisted sunroof,YES
TATA,NEXON,Nexon Creative Plus S Dark,Drive Mode Types,Eco|City|Sports
TATA,NEXON,Nexon Creative Plus S Dark,Power Windows,Front & Rear
TATA,NEXON,Nexon Creative Plus S Dark,Tachometer,YES
TATA,NEXON,Nexon Creative Plus S Dark,Leather Wrapped Steering Wheel,NO
TATA,NEXON,Nexon Creative Plus S Dark,Glove Box,YES
TATA,NEXON,Nexon Creative Plus S Dark,Digital Cluster,YES
TATA,NEXON,Nexon Creative Plus S Dark,Digital Cluster Size,4
TATA,NEXON,Nexon Creative Plus S Dark,Upholstery,Fabric
TATA,NEXON,Nexon Creative Plus S Dark,Adjustable Headlamps,YES
TATA,NEXON,Nexon Creative Plus S Dark,Rain Sensing Wiper,YES
TATA,NEXON,Nexon Creative Plus S Dark,Rear Window Wiper,YES
TATA,NEXON,Nexon Creative Plus S Dark,Rear Window Washer,YES
TATA,NEXON,Nexon Creative Plus S Dark,Rear Window Defogger,NO
TATA,NEXON,Nexon Creative Plus S Dark,Wheel Covers,NO
TATA,NEXON,Nexon Creative Plus S Dark,Alloy Wheels,YES
TATA,NEXON,Nexon Creative Plus S Dark,Rear Spoiler,YES
TATA,NEXON,Nexon Creative Plus S Dark,Outside Rear View Mirror Turn Indicators,YES
TATA,NEXON,Nexon Creative Plus S Dark,Integrated Antenna,YES
TATA,NEXON,Nexon Creative Plus S Dark,Cornering Foglamps,NO
TATA,NEXON,Nexon Creative Plus S Dark,Roof Rails,NO
TATA,NEXON,Nexon Creative Plus S Dark,Automatic Headlamps,YES
TATA,NEXON,Nexon Creative Plus S Dark,Fog Lights,NO
TATA,NEXON,Nexon Creative Plus S Dark,Antenna,Shark Fin
TATA,NEXON,Nexon Creative Plus S Dark,Sunroof,Single Pane
TATA,NEXON,Nexon Creative Plus S Dark,Outside Rear View Mirror (ORVM),Powered & Folding
TATA,NEXON,Nexon Creative Plus S Dark,Tyre Size,215/60 R16
TATA,NEXON,Nexon Creative Plus S Dark,Tyre Type,Radial Tubeless
TATA,NEXON,Nexon Creative Plus S Dark,LED DRLs,YES
TATA,NEXON,Nexon Creative Plus S Dark,LED Headlamps,YES
TATA,NEXON,Nexon Creative Plus S Dark,LED Taillights,YES
TATA,NEXON,Nexon Creative Plus S Dark,LED Fog Lamps,NO
TATA,NEXON,Nexon Creative Plus S Dark,Anti-lock Braking System (ABS),YES
TATA,NEXON,Nexon Creative Plus S Dark,Central Locking,YES
TATA,NEXON,Nexon Creative Plus S Dark,Child Safety Locks,YES
TATA,NEXON,Nexon Creative Plus S Dark,No. of Airbags,6
TATA,NEXON,Nexon Creative Plus S Dark,Driver Airbag,YES
TATA,NEXON,Nexon Creative Plus S Dark,Passenger Airbag,YES
TATA,NEXON,Nexon Creative Plus S Dark,Side Airbag,YES
TATA,NEXON,Nexon Creative Plus S Dark,Side Airbag-Rear,NO
TATA,NEXON,Nexon Creative Plus S Dark,Day & Night Rear View Mirror,YES
TATA,NEXON,Nexon Creative Plus S Dark,Curtain Airbag,YES
TATA,NEXON,Nexon Creative Plus S Dark,Electronic Brakeforce Distribution (EBD),YES
TATA,NEXON,Nexon Creative Plus S Dark,Seat Belt Warning,YES
TATA,NEXON,Nexon Creative Plus S Dark,Door Ajar Warning,YES
TATA,NEXON,Nexon Creative Plus S Dark,Tyre Pressure Monitoring System (TPMS),NO
TATA,NEXON,Nexon Creative Plus S Dark,Engine Immobilizer,YES
TATA,NEXON,Nexon Creative Plus S Dark,Electronic Stability Control (ESC),YES
TATA,NEXON,Nexon Creative Plus S Dark,Rear Camera,With Guidedlines
TATA,NEXON,Nexon Creative Plus S Dark,Speed Alert,YES
TATA,NEXON,Nexon Creative Plus S Dark,Speed Sensing Auto Door Lock,YES
TATA,NEXON,Nexon Creative Plus S Dark,ISOFIX Child Seat Mounts,YES
TATA,NEXON,Nexon Creative Plus S Dark,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
TATA,NEXON,Nexon Creative Plus S Dark,Impact Sensing Auto Door Unlock,YES
TATA,NEXON,Nexon Creative Plus S Dark,360 View Camera,YES
TATA,NEXON,Nexon Creative Plus S Dark,Global NCAP Safety Rating,5 Star
TATA,NEXON,Nexon Creative Plus S Dark,Global NCAP Child Safety Rating,5 Star
TATA,NEXON,Nexon Creative Plus S Dark,Bharat NCAP Safety Rating,5 Star
TATA,NEXON,Nexon Creative Plus S Dark,Bharat NCAP Child Safety Rating,5 Star
TATA,NEXON,Nexon Creative Plus S Dark,Radio,YES
TATA,NEXON,Nexon Creative Plus S Dark,Wireless Phone Charging,NO
TATA,NEXON,Nexon Creative Plus S Dark,Bluetooth Connectivity,YES
TATA,NEXON,Nexon Creative Plus S Dark,Touchscreen,YES
TATA,NEXON,Nexon Creative Plus S Dark,Touchscreen Size,10.24 inch
TATA,NEXON,Nexon Creative Plus S Dark,Connectivity,"Android Auto, Apple CarPlay"
TATA,NEXON,Nexon Creative Plus S Dark,Android Auto,YES
TATA,NEXON,Nexon Creative Plus S Dark,Apple CarPlay,YES
TATA,NEXON,Nexon Creative Plus S Dark,No. of Speakers,4
TATA,NEXON,Nexon Creative Plus S Dark,Usb Ports,YES
TATA,NEXON,Nexon Creative Plus S Dark,Additional Features,Wireless Android Auto & Apple CarPlay
TATA,NEXON,Nexon Creative Plus S Dark,Speakers,Front & Rear
